0,1,<answer>b</answer>,0,1,0,0
0,2,<answer>d</answer>,0,0,0,0
0,3,<answer>b</answer>,0,1,1,1
0,4,<answer>d</answer>,0,0,1,1
0,5,Error,0,0,0,0
0,6,<answer>c</answer>,1,1,1,1
0,7,<answer>c</answer>,1,1,1,1
0,8,<answer>c</answer>,1,1,1,1
0,9,<answer>b</answer>,0,1,1,1
0,10,<answer>b</answer>,0,1,1,1
0,11,<answer>b</answer>,0,1,0,0
1,2,<answer>a</answer>,1,0,0,0
1,3,<answer>b</answer>,0,1,0,0
1,4,<answer>b</answer>,0,1,0,0
1,5,<answer>b</answer>,0,1,0,0
1,6,<answer>c</answer>,1,1,0,0
1,7,Error,0,0,0,0
1,8,<answer>c</answer>,1,1,1,1
1,9,<answer>c</answer>,1,1,0,1
1,10,<answer>b</answer>,0,1,0,1
1,11,<answer>b</answer>,0,1,0,0
2,3,<answer>d</answer>,0,0,0,0
2,4,<answer>b</answer>,0,1,0,1
2,5,<answer>b</answer>,0,1,0,1
2,6,<answer>b</answer>,0,1,0,0
2,7,<answer>b</answer>,0,1,0,0
2,8,<answer>c</answer>,1,1,1,1
2,9,<answer>b</answer>,0,1,0,1
2,10,<answer>b</answer>,0,1,0,1
2,11,<answer>b</answer>,0,1,0,1
3,4,Error,0,0,0,0
3,5,Error,0,0,1,0
3,6,<answer>c</answer>,1,1,1,0
3,7,<answer>c</answer>,1,1,1,0
3,8,<answer>c</answer>,1,1,1,1
3,9,<answer>b</answer>,0,1,0,0
3,10,<answer>a</answer>,1,0,0,0
3,11,<answer>b</answer>,0,1,1,1
4,5,<answer>b</answer>,0,1,1,1
4,6,<answer>d</answer>,0,0,0,0
4,7,<answer>b</answer>,0,1,0,0
4,8,<answer>b</answer>,0,1,1,0
4,9,<answer>b</answer>,0,1,1,1
4,10,<answer>d</answer>,0,0,1,1
4,11,<answer>b</answer>,0,1,0,0
5,6,<answer>b</answer>,0,1,0,0
5,7,<answer>a</answer>,1,0,0,0
5,8,<answer>b</answer>,0,1,0,0
5,9,<answer>b</answer>,0,1,1,1
5,10,<answer>a</answer>,1,0,1,1
5,11,<answer>b</answer>,0,1,0,1
6,7,<answer>b</answer>,0,1,0,0
6,8,<answer>a</answer>,1,0,1,1
6,9,Error,0,0,0,0
6,10,<answer>a</answer>,1,0,0,0
6,11,<answer>c</answer>,1,1,0,0
7,8,<answer>d</answer>,0,0,1,1
7,9,<answer>d</answer>,0,0,0,0
7,10,<answer>b</answer>,0,1,0,0
7,11,<answer>b</answer>,0,1,0,0
8,9,Error,0,0,0,0
8,10,<answer>a/c</answer>,1,0,0,0
8,11,<answer>d</answer>,0,0,0,0
9,10,<answer>a</answer>,1,0,0,0
9,11,<answer>b</answer>,0,1,0,0
10,11,<answer>d</answer>,0,0,0,0
